FSSLTDE2,FSGRINC,FSASSET,FSNETINC,FSTOTDED,REALPROP,RAWERND,FSTOTDE2,CERTHHSZ,FSWAGES,TANF_IND,FSERNDED,TPOV,FSEARN,RAWNET,FSDIS,FSUSIZE,FYWGT,FSNELDER,FSSSI,FSTANF,FSNONCIT,LIQRESOR,FSUNEARN,WRK_POOR,FSSTDDE2,SHELDED,FSSLTDED,FSGA,FSERNDE2,CAT_ELIG,VEHICLEA,FSVEHAST
22.0,184.0,5.0,0.0,383.0,0.0,0.0,184.0,5.0,0.0,0.0,0.0,9.0,0.0,11.0,0.0,5.0,62.29124489327322,0.0,0.0,0.0,0.0,5.0,184.0,0.0,44.0,11.0,221.0,0.0,0.0,0.0,1.0,0.0
307.0,683.0,0.0,242.0,441.0,0.0,0.0,441.0,1.0,0.0,0.0,0.0,84.0,0.0,242.0,0.0,1.0,65.91557757355545,0.0,0.0,0.0,0.0,0.0,683.0,0.0,201.0,308.0,307.0,0.0,0.0,0.0,1.0,0.0
99.0,829.0,0.0,403.0,426.0,0.0,165.0,426.0,5.0,0.0,0.0,165.0,43.0,829.0,390.0,0.0,5.0,73.24909825803941,0.0,0.0,0.0,1.0,0.0,0.0,1.0,243.0,110.0,99.0,0.0,248.0,0.0,1.0,0.0
0.0,603.0,0.0,469.0,134.0,0.0,0.0,134.0,1.0,0.0,0.0,0.0,74.0,0.0,469.0,1.0,1.0,72.0737100438794,0.0,603.0,0.0,0.0,0.0,603.0,0.0,134.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
0.0,0.0,0.0,0.0,551.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,58.715045322566574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,417.0,417.0,0.0,0.0,0.0,1.0,0.0
176.0,844.0,0.0,534.0,310.0,0.0,0.0,310.0,1.0,0.0,0.0,0.0,103.0,0.0,534.0,0.0,1.0,72.43595313013405,1.0,0.0,0.0,0.0,0.0,844.0,0.0,201.0,176.0,176.0,0.0,0.0,0.0,1.0,0.0
398.0,669.0,0.0,92.0,577.0,0.0,40.0,577.0,4.0,200.0,1.0,40.0,40.0,200.0,92.0,0.0,4.0,62.45020169711655,0.0,0.0,469.0,0.0,0.0,469.0,1.0,209.0,398.0,398.0,0.0,60.0,1.0,1.0,0.0
0.0,890.0,0.0,756.0,134.0,0.0,0.0,134.0,2.0,0.0,0.0,0.0,81.0,0.0,732.0,0.0,2.0,79.34073651161101,1.0,0.0,0.0,0.0,0.0,890.0,0.0,134.0,23.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0,993.0,0.0,854.0,139.0,0.0,0.0,139.0,4.0,0.0,1.0,0.0,60.0,0.0,854.0,1.0,4.0,83.09805762565998,0.0,603.0,390.0,0.0,0.0,993.0,0.0,139.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
97.0,231.0,0.0,0.0,317.0,0.0,0.0,231.0,1.0,0.0,1.0,0.0,28.0,0.0,0.0,0.0,1.0,59.30464124673775,0.0,0.0,231.0,0.0,0.0,231.0,0.0,115.0,183.0,183.0,0.0,0.0,1.0,1.0,0.0
328.0,537.0,11.0,0.0,626.0,0.0,47.0,537.0,5.0,237.0,0.0,47.0,28.0,237.0,0.0,0.0,5.0,62.29124489327322,0.0,0.0,0.0,0.0,11.0,300.0,1.0,153.0,417.0,417.0,0.0,0.0,0.0,1.0,0.0
152.0,1144.0,0.0,858.0,286.0,0.0,0.0,286.0,2.0,0.0,0.0,0.0,104.0,0.0,858.0,1.0,2.0,82.05755965997797,1.0,0.0,0.0,0.0,0.0,1144.0,0.0,201.0,152.0,152.0,0.0,0.0,0.0,1.0,0.0
0.0,1066.0,0.0,714.0,352.0,0.0,213.0,352.0,4.0,1066.0,0.0,213.0,64.0,1066.0,714.0,0.0,4.0,79.29450521705634,0.0,0.0,0.0,0.0,0.0,0.0,1.0,139.0,0.0,0.0,0.0,213.0,0.0,1.0,0.0
0.0,1246.0,0.0,1112.0,134.0,0.0,0.0,134.0,2.0,0.0,0.0,0.0,113.0,0.0,1112.0,1.0,2.0,83.59709277711242,1.0,363.0,0.0,0.0,0.0,1246.0,0.0,134.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
350.0,603.0,0.0,114.0,489.0,0.0,0.0,489.0,4.0,0.0,0.0,0.0,36.0,0.0,114.0,1.0,4.0,62.99356632694935,0.0,603.0,0.0,0.0,0.0,603.0,0.0,209.0,350.0,350.0,0.0,0.0,0.0,1.0,0.0
387.0,903.0,0.0,202.0,701.0,0.0,181.0,701.0,1.0,903.0,0.0,180.0,111.0,903.0,201.0,0.0,1.0,64.8288483147015,0.0,0.0,0.0,0.0,0.0,0.0,1.0,201.0,388.0,387.0,0.0,270.0,0.0,1.0,0.0
0.0,310.0,26.0,176.0,134.0,0.0,0.0,134.0,2.0,0.0,1.0,0.0,28.0,0.0,176.0,0.0,2.0,63.58316225117514,0.0,0.0,310.0,0.0,26.0,310.0,0.0,134.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
0.0,0.0,0.0,0.0,551.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,58.78344135535034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,417.0,417.0,0.0,0.0,0.0,1.0,0.0
21.0,1513.0,9.0,1201.0,312.0,0.0,130.0,312.0,5.0,648.0,1.0,129.0,78.0,648.0,1200.0,0.0,5.0,94.89312267390072,0.0,0.0,320.0,0.0,9.0,865.0,1.0,183.0,21.0,21.0,0.0,150.0,1.0,1.0,0.0
125.0,623.0,992.0,364.0,259.0,0.0,0.0,259.0,1.0,0.0,0.0,0.0,76.0,0.0,363.0,0.0,1.0,69.17576535242267,1.0,312.0,0.0,0.0,992.0,623.0,0.0,201.0,125.0,125.0,0.0,0.0,1.0,1.0,0.0
383.0,562.0,0.0,45.0,517.0,0.0,0.0,517.0,1.0,0.0,0.0,0.0,69.0,0.0,0.0,0.0,1.0,60.57249204946633,1.0,0.0,0.0,0.0,0.0,562.0,0.0,201.0,405.0,383.0,0.0,0.0,0.0,1.0,0.0
