Table 1

CONTi
CSUPRTi
DEEMi
DIVERi
EDLOANi
EITCi
ENERGYi
GAi
OTHERNi
OTHGOVi
OTHUNi
SLFEMPi
SOCSECi
SSIi
TANFi
UNEMPi
VETi
WAGESi
WCOMPi
WGESUPi
