Table 1

FSCONT 
FSCSUPR
FSDEEM 
FSDIVER
FSEARN 
FSEDLOA
FSEITC 
FSENERG
FSFOSTE
FSGA C 
FSGRINC
FSNETIN
FSOTHER
FSOTHGO
FSOTHUN
FSSLFEM
FSSOCSE
FSSSI C
FSTANF 
FSUNEAR
FSUNEMP
FSVET C
FSWAGES
FSWCOMP
FSWGESU
RAWGROS
RAWNET 
