Table 1

CONTi 
CSUPRT
DEEMi 
DIVERi
EDLOAN
EITCi 
ENERGY
FOSTER
GAi R 
OTHERN
OTHGOVi
OTHUNi 
SLFEMPi
SOCSECi
SSIi R 
TANFi R
UNEMPi 
VETi R 
WAGESi 
WCOMPi 
WGESUPi
